user_id,game,action,time,country_code
59945701,Ultra Street Fighter IV,play,238.0,GB
59945701,FINAL FANTASY XIII,play,84.0,GB
59945701,The Elder Scrolls V Skyrim,play,58.0,GB
59945701,Sid Meier's Civilization V,play,22.0,GB
59945701,L.A. Noire,play,13.8,GB
59945701,Company of Heroes Tales of Valor,play,10.2,GB
59945701,7 Days to Die,play,7.8,GB
59945701,Divekick,play,7.0,GB
59945701,FINAL FANTASY VII,play,5.2,GB
59945701,Orcs Must Die! 2,play,4.8,GB
59945701,Killing Floor,play,3.4,GB
59945701,Company of Heroes,play,3.2,GB
59945701,Bastion,play,2.8,GB
59945701,Undertale,play,2.6,GB
59945701,Counter-Strike Global Offensive,play,2.3,GB
59945701,Orcs Must Die!,play,0.7,GB
59945701,THE KING OF FIGHTERS XIII STEAM EDITION,play,0.6,GB
59945701,GUILTY GEAR XX ACCENT CORE PLUS R,play,0.5,GB
59945701,Skullgirls,play,0.4,GB
59945701,Assassin's Creed II,play,0.3,GB
59945701,Company of Heroes Opposing Fronts,play,0.1,GB
59945701,Team Fortress 2,play,0.1,GB
26122540,Call of Duty Modern Warfare 2 - Multiplayer,play,92.0,US
26122540,Call of Duty Modern Warfare 2,play,47.0,US
26122540,Call of Duty Black Ops - Multiplayer,play,22.0,US
26122540,Counter-Strike Source,play,10.3,US
26122540,Dungeon Defenders,play,6.8,US
26122540,Call of Duty Black Ops,play,3.1,US
26122540,Day of Defeat Source,play,1.1,US
176410694,Dota 2,play,9.1,BR
150128162,Team Fortress 2,play,42.0,UA
167362888,Dota 2,play,135.0,AE
208649703,Counter-Strike Global Offensive,play,125.0,US
54103616,Counter-Strike Global Offensive,play,1028.0,CA
54103616,Counter-Strike,play,1008.0,CA
54103616,Left 4 Dead,play,148.0,CA
54103616,The Sims(TM) 3,play,108.0,CA
54103616,Team Fortress 2,play,72.0,CA
54103616,H1Z1,play,36.0,CA
54103616,The Elder Scrolls V Skyrim,play,35.0,CA
54103616,Counter-Strike Source,play,32.0,CA
54103616,Borderlands 2,play,21.0,CA
54103616,PAYDAY The Heist,play,16.0,CA
54103616,Left 4 Dead 2,play,15.8,CA
54103616,Need for Speed Undercover,play,15.8,CA
54103616,Battlefield Bad Company 2,play,8.6,CA
54103616,EasyAntiCheat eSports,play,7.8,CA
54103616,Portal 2,play,7.3,CA
54103616,Dota 2,play,3.1,CA
54103616,Alien Swarm,play,1.9,CA
54103616,Terraria,play,1.7,CA
54103616,Commandos 3 Destination Berlin,play,1.1,CA
54103616,Age of Chivalry,play,0.6,CA
54103616,Counter-Strike Condition Zero Deleted Scenes,play,0.4,CA
230599183,Dota 2,play,2.3,CN
126656629,Dota 2,play,2.4,FR
197821092,Dota 2,play,1.5,AR
117217039,Dota 2,play,60.0,HU
