,Unnamed: 0,index,Name,Genre,ESRB_Rating,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year,status,Vgchartzscore,average_rating
570,570,4693,Yu-Gi-Oh! Forbidden Memories (JP sales),Role-Playing,E,PS,Konami,KCEJ,6.3,,0.48,,,0.45,0.03,2002,1,,6.3
571,571,310,Spider-Man: The Movie,Action,E,PS2,Activision,Treyarch,8.2,,4.48,2.71,1.51,0.03,0.23,2002,1,,8.2
572,572,4571,Tactics Ogre: The Knight of Lodis,Role-Playing,E,GBA,Atlus,Quest Corporation,8.5,,0.5,0.13,0.05,0.31,0.01,2002,1,,8.5
576,576,417,SOCOM: U.S. Navy SEALs,Shooter,M,PS2,Sony Computer Entertainment,Zipper Interactive,8.0,,3.65,2.53,0.81,0.06,0.24,2002,1,,8.0
577,577,286,The Lord of the Rings: The Two Towers,Action,T,PS2,Electronic Arts,Stormfront Studios,8.3,,4.67,1.94,1.95,0.08,0.7,2002,1,,8.3
580,580,466,Tekken 4,Fighting,T,PS2,Namco,Namco,7.9,,3.44,1.55,1.27,0.33,0.29,2002,1,,7.9
588,588,610,The Elder Scrolls III: Morrowind,Role-Playing,T,XB,Bethesda Softworks,Bethesda Softworks,8.2,,2.86,2.09,0.63,0.03,0.11,2002,1,,8.2
589,589,2888,Yu-Gi-Oh! Dark Duel Stories,Misc,E,GB,Konami,KCEJ,6.2,,0.83,,,0.83,,2002,1,,6.2
592,592,2477,Suikoden III,Role-Playing,T,PS2,Konami,KCET,8.6,,0.98,0.29,0.23,0.38,0.08,2002,1,,8.6
593,593,7566,Castlevania: Harmony of Dissonance,Platform,T,GBA,Konami,Konami Computer Entertainment Tokyo,8.6,,0.26,0.16,0.06,0.04,0.0,2002,1,,8.6
612,612,3135,Marvel vs. Capcom 2,Fighting,T,PS2,Capcom,Capcom,8.2,,0.76,0.31,0.24,0.13,0.08,2002,1,,8.2
619,619,1024,Harry Potter and the Chamber of Secrets,Adventure,E,GBA,Electronic Arts,Eurocom Entertainment Software,7.2,,1.99,1.21,0.64,0.05,0.09,2002,1,,7.2
623,623,10573,Doshin the Giant,Simulation,,GC,Nintendo,Param,6.8,,0.14,,,0.14,0.0,2002,1,,6.8
624,624,12618,Steel Battalion,Simulation,T,XB,Capcom,"Capcom Production Studio 4 / Nude Maker Co., Ltd.",7.7,,0.1,0.05,0.02,0.02,0.0,2002,1,,7.7
644,644,9803,Cubivore: Survival of the Fittest,Adventure,E,GC,Atlus,Saru Brunei / Intelligent Systems,7.1,,0.17,0.01,0.0,0.15,0.0,2002,1,,7.1
656,656,9760,Lost Kingdoms,Role-Playing,T,GC,Activision,From Software,7.3,,0.17,0.1,0.02,0.04,0.0,2002,1,,7.3
670,670,5745,Pokemon Channel,Adventure,E,GC,Nintendo,Ambrella,5.2,,0.38,0.24,0.06,0.07,0.01,2003,1,,5.2
678,678,643,Ratchet & Clank: Going Commando,Platform,T,PS2,Sony Computer Entertainment,Insomniac Games,8.7,,2.78,1.44,0.83,0.26,0.25,2003,1,,8.7
683,683,237,Medal of Honor: Rising Sun,Shooter,T,PS2,Electronic Arts,EA Los Angeles,5.9,,5.13,1.98,2.23,0.13,0.8,2003,1,,5.9
691,691,390,Tony Hawk's Underground,Sports,T,PS2,Activision,Neversoft Entertainment,8.7,,3.9,2.29,1.17,0.01,0.42,2003,1,,8.7
693,693,4936,Enter the Matrix,Action,T,GC,Atari,Shiny Entertainment,6.5,,0.45,0.34,0.09,0.02,0.01,2003,1,,6.5
700,700,3733,Viewtiful Joe,Action,T,GC,Capcom,Clover Studio,9.4,,0.62,0.38,0.1,0.12,0.02,2003,1,,9.4
701,701,228,Madden NFL 2004,Sports,E,PS2,EA Sports,EA Tiburon,9.5,,5.23,4.26,0.26,0.01,0.71,2003,1,,9.5
703,703,2485,Fire Emblem,Strategy,E,GBA,Nintendo,Intelligent Systems,8.8,,0.97,0.49,0.18,0.29,0.01,2003,1,,8.8
706,706,624,Finding Nemo,Platform,E,GBA,THQ,Vicarious Visions,7.0,,2.82,1.59,1.05,0.04,0.14,2003,1,,7.0
707,707,3692,Ape Escape 2,Platform,E,PS2,Ubisoft,SCE Japan Studio,8.0,,0.63,0.12,0.09,0.38,0.03,2003,1,,8.0
709,709,498,The Lord of the Rings: The Return of the King,Action,T,PS2,Electronic Arts,"Hypnos Entertainment, Inc.",8.4,,3.28,1.5,1.28,0.05,0.46,2003,1,,8.4
715,715,455,FIFA Soccer 2004,Sports,E,PS2,EA Sports,EA Canada,8.0,,3.49,0.59,2.36,0.04,0.51,2003,1,,8.0
716,716,438,The Getaway,Action,M,PS2,Sony Computer Entertainment,Team Soho,7.7,,3.54,1.23,1.77,0.05,0.49,2003,1,,7.7
721,721,4407,Metal Gear Solid 2: Substance,Action,M,PS2,Konami,Konami Computer Entertainment Japan,8.5,,0.52,0.18,0.14,0.16,0.05,2003,1,,8.5
731,731,3574,F-Zero GX,Racing,T,GC,Nintendo,Amusement Vision,8.4,,0.65,0.41,0.11,0.12,0.02,2003,1,,8.4
733,733,3100,Unlimited Saga,Role-Playing,T,PS2,Square Enix,SquareSoft,4.9,,0.77,0.1,0.08,0.56,0.03,2003,1,,4.9
744,744,3459,.hack//Mutation Part 2,Role-Playing,T,PS2,Bandai,CyberConnect2,7.5,,0.68,0.23,0.18,0.2,0.06,2003,1,,7.5
747,747,7404,Panzer Dragoon Orta,Shooter,T,XB,Sega,Smilebit,8.8,,0.26,0.16,0.05,0.04,0.01,2003,1,,8.8
749,749,4917,.hack//Outbreak Part 3,Role-Playing,T,PS2,Bandai,CyberConnect2,7.1,,0.46,0.14,0.11,0.17,0.04,2003,1,,7.1
757,757,1203,Xenosaga Episode I: Der Wille zur Macht,Role-Playing,T,PS2,Namco,Monolith Soft,8.7,,1.74,0.63,0.49,0.45,0.17,2003,1,,8.7
759,759,1467,SoulCalibur II,Fighting,T,GC,Namco,Namco,9.2,,1.5,0.99,0.32,0.11,0.08,2003,1,,9.2
761,761,3315,Yu-Gi-Oh! The Falsebound Kingdom,Strategy,E,GC,Konami,Konami,4.4,,0.71,0.49,0.13,0.07,0.02,2003,1,,4.4
769,769,6305,Clock Tower 3,Adventure,M,PS2,Capcom,SunSoft,7.0,,0.33,0.1,0.08,0.12,0.03,2003,1,,7.0
771,771,139,Need for Speed Underground,Racing,E,PS2,Electronic Arts,EA Black Box,8.6,,7.2,3.27,2.83,0.08,1.02,2003,1,,8.6
775,775,2502,Dark Cloud 2,Role-Playing,T,PS2,Sony Computer Entertainment,Level 5,8.6,,0.96,0.38,0.25,0.26,0.07,2003,1,,8.6
779,779,5350,Zone of the Enders: The 2nd Runner,Simulation,M,PS2,Konami,Konami Computer Entertainment Japan,8.6,,0.41,0.15,0.12,0.11,0.04,2003,1,,8.6
790,790,10758,Ultimate Muscle - The Kinnikuman Legacy: Legends vs New Generation,Fighting,T,GC,Bandai,Aki Corporation,8.0,,0.14,0.04,0.01,0.08,0.0,2003,1,,8.0
791,791,1290,PGR: Project Gotham Racing 2,Racing,E,XB,Microsoft Game Studios,Bizarre Creations,8.9,,1.67,0.97,0.59,0.04,0.07,2003,1,,8.9
798,798,3915,Dead or Alive Xtreme Beach Volleyball,Sports,M,XB,Tecmo,Team Ninja,6.6,,0.59,0.36,0.08,0.14,0.02,2003,1,,6.6
804,804,3937,Harvest Moon: Friends of Mineral Town,Simulation,E,GBA,Natsume,TOSE Software,7.6,,0.59,0.34,0.13,0.11,0.01,2003,1,,7.6
810,810,1825,.hack//Infection Part 1,Role-Playing,T,PS2,Bandai,CyberConnect2,7.7,,1.27,0.49,0.38,0.26,0.13,2003,1,,7.7
827,827,11289,Classic NES Series: Xevious,Shooter,E,GBA,Nintendo,Nintendo,6.4,,0.12,,,0.12,,2004,1,,6.4
832,832,11685,Classic NES Series: Bomberman,Puzzle,E,GBA,Nintendo,Hudson Soft,5.4,,0.11,,,0.11,,2004,1,,5.4
835,835,471,Spider-Man 2,Action,T,PS2,Activision,Treyarch,7.9,,3.41,1.75,1.2,0.02,0.43,2004,1,,7.9
841,841,410,FIFA Soccer 2005,Sports,E,PS2,EA Sports,EA Canada,8.4,,3.7,0.58,2.48,0.04,0.59,2004,1,,8.4
842,842,9792,Classic NES Series: Donkey Kong,Platform,E,GBA,Nintendo,Nintendo,6.5,,0.17,,,0.17,,2004,1,,6.5
845,845,967,The Incredibles,Action,E,GBA,THQ,Helixe,5.4,,2.06,1.15,0.77,0.04,0.1,2004,1,,5.4
846,846,4848,Metal Gear Solid: The Twin Snakes,Action,M,GC,Konami,Silicon Knights,8.1,,0.47,0.3,0.08,0.07,0.01,2004,1,,8.1
848,848,7967,Classic NES Series: The Legend of Zelda,Adventure,E,GBA,Nintendo,Nintendo EAD,8.4,,0.24,,,0.24,,2004,1,,8.4
850,850,425,Star Wars Battlefront,Shooter,T,PS2,LucasArts,Pandemic Studios,8.1,,3.61,1.93,1.22,0.03,0.44,2004,1,,8.1
855,855,6422,Final Fantasy XI: Online,MMO,T,PS2,Square Enix,Square Enix,8.4,,0.32,0.08,0.06,0.15,0.02,2004,1,,8.4
861,861,4860,Classic NES Series: Pac-Man,Puzzle,E,GBA,Nintendo,Nintendo,5.7,,0.46,0.25,0.09,0.12,0.01,2004,1,,5.7
862,862,1893,Donkey Kong Country 2,Platform,E,GBA,Nintendo,Rare Ltd.,7.6,,1.23,0.79,0.27,0.12,0.04,2004,1,,7.6
865,865,2349,Shrek 2,Platform,E,GC,Activision,"Luxoflux, Inc.",6.9,,1.02,0.73,0.26,0.01,0.03,2004,1,,6.9
869,869,1108,Shrek 2,Platform,E,PS2,Activision,"Luxoflux, Inc.",6.9,,1.86,1.12,0.69,0.03,0.02,2004,1,,6.9
878,878,710,Ratchet & Clank: Up Your Arsenal,Platform,T,PS2,Sony Computer Entertainment,Insomniac Games,9.1,,2.57,1.31,0.74,0.31,0.22,2004,1,,9.1
886,886,6292,Classic NES Series: Castlevania,Platform,E,GBA,Nintendo,Konami,7.4,,0.33,0.17,0.06,0.09,0.01,2004,1,,7.4
895,895,799,The Incredibles,Action,T,PS2,THQ,Heavy Iron Studios,5.9,,2.37,0.96,1.08,0.04,0.3,2004,1,,5.9
898,898,6950,Feel the Magic XY/XX,Puzzle,T,DS,Sega,Sonic Team,7.7,,0.29,0.17,0.0,0.1,0.02,2004,1,,7.7
901,901,597,World Soccer Winning Eleven 7 International,Sports,E,PS2,Konami,Konami Computer Entertainment Tokyo,9.2,,2.9,0.08,1.24,1.13,0.45,2004,1,,9.2
908,908,1975,Final Fantasy I & II: Dawn of Souls,Role-Playing,E,GBA,Nintendo,Square Enix,7.1,,1.19,0.64,0.24,0.29,0.02,2004,1,,7.1
915,915,5672,Shin Megami Tensei: Nocturne,Role-Playing,M,PS2,Atlus,Atlus Co.,8.0,,0.38,0.07,0.05,0.25,0.02,2004,1,,8.0
921,921,4576,Dead or Alive Ultimate,Fighting,M,XB,Tecmo,Team Ninja,8.1,,0.5,0.3,0.1,0.08,0.02,2004,1,,8.1
928,928,298,Madden NFL 2005,Sports,E,PS2,EA Sports,EA Tiburon,9.5,,4.53,4.18,0.26,0.01,0.08,2004,1,,9.5
929,929,8846,Classic NES Series: Ice Climber,Platform,E,GBA,Nintendo,Nintendo,6.1,,0.2,,,0.2,,2004,1,,6.1
931,931,12587,Classic NES Series: Excitebike,Racing,E,GBA,Nintendo,Nintendo,6.4,,0.1,,,0.1,,2004,1,,6.4
937,937,9152,Daigasso! Band Brothers,Misc,,DS,Nintendo,Nintendo R&D2,8.0,,0.19,,,0.19,,2004,1,,8.0
942,942,4604,Spider-Man 2,Action,E,DS,Activision,Vicarious Visions,6.1,,0.5,0.41,0.02,0.03,0.04,2004,1,,6.1
950,950,336,Metal Gear Solid 3: Snake Eater,Action,M,PS2,Konami,KCEJ / Kojima Productions,9.0,,4.23,1.46,0.0,0.83,1.93,2004,1,,9.0
955,955,11199,Classic NES Series: Dr. Mario,Puzzle,E,GBA,Nintendo,Nintendo EAD,6.1,,0.13,,,0.13,,2004,1,,6.1
957,957,2170,Tales of Symphonia,Role-Playing,T,GC,Namco,Namco Tales Studio,8.5,,1.1,0.54,0.21,0.31,0.04,2004,1,,8.5
958,958,3389,Classic NES Series: Zelda II: The Adventure of Link,Adventure,E,GBA,Nintendo,Nintendo EAD,6.6,,0.7,0.37,0.14,0.17,0.01,2004,1,,6.6
964,964,144,Need for Speed Underground 2,Racing,E,PS2,Electronic Arts,EA Black Box,8.3,,6.9,2.71,3.02,0.08,1.09,2004,1,,8.3
965,965,3251,Katamari Damacy,Puzzle,E,PS2,Namco,Namco,8.5,,0.73,0.47,0.02,0.17,0.08,2004,1,,8.5
967,967,8284,Galactic Wrestling: Featuring Ultimate Muscle,Fighting,T,PS2,Bandai,Aki Corporation,7.3,,0.22,0.03,0.02,0.17,0.01,2004,1,,7.3
969,969,5202,Castlevania: Dawn of Sorrow,Platform,T,DS,Konami,Konami,8.9,,0.43,0.34,0.03,0.03,0.03,2005,1,,8.9
975,975,8841,Ridge Racer 6,Racing,E,X360,Namco,Namco,7.9,,0.2,0.1,0.02,0.07,0.01,2005,1,,7.9
976,976,2702,Fire Emblem: The Sacred Stones,Strategy,E,GBA,Nintendo,Intelligent Systems,8.4,,0.89,0.42,0.16,0.3,0.02,2005,1,,8.4
978,978,942,Need for Speed: Most Wanted 5-1-0,Racing,E10,PSP,Electronic Arts,EA Black Box,7.4,,2.09,1.77,0.13,0.02,0.17,2005,1,,7.4
985,985,3873,PGR3 - Project Gotham Racing 3,Racing,E10,X360,Microsoft Game Studios,Bizarre Creations,8.8,,0.6,0.49,0.03,0.03,0.05,2005,1,,8.8
989,989,968,Call of Duty 2,Shooter,T,X360,Activision,Infinity Ward,8.8,9.1,2.06,1.84,0.04,0.01,0.16,2005,1,,8.95
995,995,3802,Final Fantasy IV Advance,Role-Playing,E10,GBA,Square Enix,Square Enix,8.6,,0.61,0.27,0.1,0.22,0.01,2005,1,,8.6
999,999,6885,Trace Memory,Adventure,T,DS,Nintendo,Cing,6.5,,0.29,0.15,0.01,0.12,0.01,2005,1,6.7,6.6
1007,1007,4283,Fire Emblem: Path of Radiance,Role-Playing,T,GC,Nintendo,Intelligent Systems,8.6,,0.54,0.29,0.08,0.16,0.01,2005,1,,8.6
1013,1013,3074,Perfect Dark Zero,Shooter,M,X360,Microsoft Game Studios,Rare Ltd.,8.1,8.9,0.77,0.66,0.02,0.03,0.06,2005,1,,8.5
1020,1020,1856,Need for Speed: Most Wanted,Racing,T,X360,Electronic Arts,Electronic Arts,8.4,,1.25,1.0,0.13,0.02,0.1,2005,1,,8.4
1022,1022,3374,Ape Escape: On the Loose,Platform,E,PSP,Sony Computer Entertainment,SIMS,6.6,,0.7,0.52,0.01,0.12,0.05,2005,1,,6.6
1029,1029,2746,Metal Gear Ac!d,Strategy,M,PSP,Konami,Konami,7.4,,0.87,0.32,0.26,0.12,0.17,2005,1,,7.4
1032,1032,793,Guitar Hero,Misc,T,PS2,RedOctane,Harmonix Music Systems,8.0,,2.38,1.67,0.61,0.03,0.07,2005,1,,8.0
1037,1037,1895,Star Wars Battlefront II,Shooter,T,PSP,LucasArts,Savage Entertainment,6.9,,1.22,1.05,0.06,0.01,0.1,2005,1,,6.9
1055,1055,4078,Resident Evil Outbreak File #2,Action,M,PS2,Capcom,Capcom Production Studio 1,5.8,,0.57,0.19,0.15,0.17,0.05,2005,1,,5.8
1059,1059,2234,SoulCalibur III,Fighting,T,PS2,Namco,Namco,8.5,,1.07,0.74,0.15,0.13,0.05,2005,1,,8.5
1060,1060,3959,Romancing SaGa,Role-Playing,E10,PS2,Square Enix,Square Enix,6.0,,0.58,0.06,0.04,0.47,0.01,2005,1,,6.0
1062,1062,6003,Trauma Center: Under the Knife,Simulation,T,DS,Atlus,Atlus Co.,8.0,,0.36,0.3,0.01,0.02,0.03,2005,1,,8.0
1065,1065,3277,Kirby: Canvas Curse,Platform,E,DS,Nintendo,HAL Laboratory,8.9,,0.72,0.36,0.0,0.32,0.03,2005,1,,8.9
1068,1068,1607,Ridge Racer,Racing,E,PSP,Namco,Namco,8.8,,1.41,0.36,0.45,0.32,0.27,2005,1,,8.8
1072,1072,5625,Advance Wars: Dual Strike,Strategy,E,DS,Nintendo,Intelligent Systems,9.0,,0.39,0.3,0.03,0.04,0.03,2005,1,,9.0
1080,1080,2469,Zoo Tycoon DS,Strategy,E,DS,THQ,Blue Fang Games,4.6,,0.98,0.86,0.03,0.01,0.07,2005,1,,4.6
1085,1085,1036,Hot Shots Golf: Open Tee,Sports,E10,PSP,Sony Computer Entertainment,Clap Hanz,8.4,,1.96,0.5,0.5,0.63,0.33,2005,1,,8.4
1086,1086,4497,Dynasty Warriors,Action,T,PSP,Tecmo Koei,Omega Force,6.6,,0.51,0.18,0.0,0.3,0.02,2005,1,,6.6
1090,1090,5325,Castlevania: Curse of Darkness,Action,M,PS2,Konami,Konami,7.2,,0.42,0.18,0.14,0.05,0.05,2005,1,,7.2
1095,1095,265,Madden NFL 06,Sports,E,PS2,EA Sports,EA Tiburon,9.1,,4.91,3.98,0.26,0.01,0.66,2005,1,,9.1
1100,1100,2216,Star Fox: Assault,Shooter,T,GC,Nintendo,Namco,6.6,8.5,1.08,0.68,0.18,0.19,0.03,2005,1,,7.55
1102,1102,3924,Madden NFL 06,Sports,E,X360,EA Sports,EA Tiburon,7.7,,0.59,0.54,0.0,0.01,0.03,2005,1,,7.7
1103,1103,2179,Untold Legends: Brotherhood of the Blade,Role-Playing,T,PSP,Sony Online Entertainment,Sony Online Entertainment,6.5,,1.09,0.54,0.33,0.01,0.22,2005,1,,6.5
1113,1113,2612,Phoenix Wright: Ace Attorney,Adventure,T,DS,Capcom,Capcom,8.1,,0.93,0.44,0.05,0.39,0.05,2005,1,8.0,8.05
1117,1117,1710,Donkey Kong Jungle Beat,Platform,E10,GC,Nintendo,Nintendo EAD Tokyo,7.9,,1.34,0.84,0.22,0.24,0.04,2005,1,,7.9
1119,1119,1736,Need for Speed Underground Rivals,Racing,E,PSP,Electronic Arts,Team Fusion,7.6,,1.32,0.69,0.38,0.02,0.24,2005,1,,7.6
1124,1124,124,Grand Theft Auto: Liberty City Stories,Action,M,PSP,Rockstar Games,Rockstar Leeds,8.8,,7.72,2.9,2.83,0.24,1.74,2005,1,,8.8
1130,1130,6358,Dr. Mario / Puzzle League,Puzzle,E,GBA,Nintendo,Intelligent Systems,7.5,,0.33,0.12,0.04,0.16,0.01,2005,1,,7.5
1136,1136,3101,Pokemon Dash,Racing,E,DS,Nintendo,Ambrella,5.3,,0.77,0.21,0.14,0.38,0.04,2005,1,,5.3
1151,1151,3554,Suikoden IV,Role-Playing,T,PS2,Konami,Konami Computer Entertainment Tokyo,6.3,,0.66,0.17,0.13,0.3,0.05,2005,1,,6.3
1156,1156,3097,Donkey Kong Country 3,Platform,E,GBA,Nintendo,Rare Ltd.,7.5,,0.77,0.45,0.17,0.14,0.01,2005,1,,7.5
1157,1157,338,FIFA Soccer 06,Sports,E,PS2,EA Sports,EA Canada,8.4,,4.21,0.78,2.55,0.04,0.84,2005,1,,8.4
1161,1161,7238,Pac-Pix,Puzzle,E,DS,Namco,Namco,6.8,,0.27,0.16,0.0,0.1,0.01,2005,1,,6.8
1164,1164,7557,Polarium,Puzzle,E,DS,Nintendo,Mitchell,7.6,,0.26,0.13,0.01,0.11,0.01,2005,1,,7.6
1169,1169,443,LEGO Star Wars: The Video Game,Action,E,PS2,Eidos Interactive,Traveller's Tales,7.9,,3.53,1.98,1.14,0.01,0.41,2005,1,,7.9
1176,1176,7505,Metroid Prime Pinball,Misc,E,DS,Nintendo,Fuse Games Limited,7.6,,0.26,0.22,0.0,0.02,0.02,2005,1,,7.6
1179,1179,430,Star Wars Battlefront II,Shooter,T,PS2,LucasArts,Pandemic Studios,8.5,,3.59,2.18,1.02,0.03,0.37,2005,1,,8.5
1181,1181,2098,SOCOM: U.S. Navy SEALs Fireteam Bravo,Shooter,M,PSP,Sony Computer Entertainment,Zipper Interactive,7.9,,1.12,1.03,0.0,0.01,0.08,2005,1,,7.9
1188,1188,8057,Meteos,Puzzle,E,DS,Nintendo,Q Entertainment,8.8,,0.23,0.15,0.01,0.06,0.01,2005,1,,8.8
1192,1192,2056,Shadow of the Colossus,Adventure,T,PS2,Sony Computer Entertainment,Team ICO,9.1,9.4,1.14,0.78,0.03,0.2,0.13,2005,1,9.4,9.3
1193,1193,9788,Zoo Keeper,Puzzle,E,DS,Ignition Entertainment,"Buddiez, Inc.",7.2,,0.17,0.1,0.01,0.05,0.01,2005,1,,7.2
1194,1194,395,World Soccer Winning Eleven 8 International,Sports,E,PS2,Konami,Konami Computer Entertainment Tokyo,9.3,,3.85,0.16,1.89,1.12,0.68,2005,1,,9.3
1196,1196,674,Call of Duty 2: Big Red One,Shooter,T,PS2,Activision,Treyarch,8.5,,2.67,1.48,0.92,0.01,0.26,2005,1,,8.5
1199,1199,10292,FIFA 06: Road to FIFA World Cup,Sports,E,X360,EA Sports,EA Canada,6.1,,0.15,0.11,0.02,0.01,0.01,2005,1,,6.1
1200,1200,319,Need for Speed: Most Wanted,Racing,T,PS2,Electronic Arts,EA Canada,8.6,,4.37,2.03,1.79,0.08,0.47,2005,1,,8.6
1217,1217,3569,Radiata Stories,Role-Playing,T,PS2,Square Enix,tri-Ace,7.7,,0.65,0.18,0.14,0.29,0.05,2005,1,,7.7
1219,1219,9670,.hack//G.U. Vol.1//Rebirth,Role-Playing,T,PS2,Namco Bandai,CyberConnect2,6.6,,0.17,,,0.17,,2006,1,,6.6
1224,1224,5938,Valkyrie Profile: Lenneth,Role-Playing,T,PSP,Square Enix,tri-Ace,8.1,,0.36,0.17,0.01,0.16,0.02,2006,1,,8.1
1225,1225,6121,Dynasty Warriors 5 Empires,Action,T,PS2,KOEI,Omega Force,6.3,,0.34,0.11,0.09,0.12,0.03,2006,1,,6.3
1226,1226,10714,Just Cause,Action,M,X360,Eidos Interactive,Avalanche Studios,7.3,,0.14,0.1,0.03,0.01,0.01,2006,1,,7.3
1233,1233,3151,Genji: Days of the Blade,Action,T,PS3,Sony Computer Entertainment,Game Republic,5.0,,0.75,0.18,0.38,0.06,0.14,2006,1,,5.0
1237,1237,6148,Trauma Center: Second Opinion,Simulation,T,Wii,Atlus,Atlus Co.,8.2,,0.34,0.28,0.01,0.03,0.03,2006,1,,8.2
1239,1239,5441,Battlefield 2: Modern Combat,Shooter,T,X360,Electronic Arts,Digtal Illusions,7.8,,0.41,0.35,0.02,0.01,0.03,2006,1,,7.8
1240,1240,4378,Star Fox Command,Shooter,E10,DS,Nintendo,Nintendo EAD / Q-Games,7.2,,0.53,0.38,0.01,0.1,0.04,2006,1,,7.2
1245,1245,6020,Suikoden V,Role-Playing,T,PS2,Konami,Hudson Soft,7.9,,0.35,0.08,0.06,0.19,0.02,2006,1,,7.9
1246,1246,1149,Madden NFL 07,Sports,E,X360,EA Sports,EA Tiburon,8.2,,1.8,1.66,0.0,0.01,0.13,2006,1,,8.2
1259,1259,9235,Samurai Warriors: State of War,Action,T,PSP,KOEI,Omega Force,6.5,,0.19,0.07,0.0,0.11,0.01,2006,1,,6.5
1260,1260,7645,Dead or Alive Xtreme 2,Sports,M,X360,Tecmo,Team Ninja,5.3,,0.25,0.15,0.02,0.06,0.02,2006,1,,5.3
1261,1261,4498,Ace Combat Zero: The Belkan War,Simulation,T,PS2,Namco,Namco,7.5,,0.51,0.15,0.12,0.2,0.04,2006,1,,7.5
1274,1274,9365,Metal Gear Ac!d 2,Strategy,M,PSP,Konami,Kojima Productions,8.3,,0.18,0.11,0.01,0.05,0.01,2006,1,,8.3
1276,1276,356,FIFA 07 Soccer,Sports,E,PS2,EA Sports,Team Fusion,8.4,,4.11,0.71,2.48,0.03,0.89,2006,1,,8.4
1279,1279,1530,Fight Night Round 3,Fighting,T,X360,EA Sports,EA Chicago,8.6,,1.47,1.33,0.03,0.01,0.1,2006,1,,8.6
1291,1291,2486,Dirge of Cerberus: Final Fantasy VII,Shooter,T,PS2,Square Enix,Square Enix,5.8,,0.97,0.46,,0.51,,2006,1,,5.8
1305,1305,5619,Chibi-Robo! Plug into Adventure!,Adventure,E10,GC,Nintendo,skip Ltd.,7.4,,0.39,0.23,0.06,0.09,0.01,2006,1,,7.4
1307,1307,5630,LocoRoco,Platform,E,PSP,Sony Computer Entertainment,SCE Japan Studio,8.1,,0.39,0.14,0.05,0.16,0.03,2006,1,8.4,8.25
1308,1308,1597,Rayman Raving Rabbids,Misc,E,Wii,Ubisoft,Ubisoft Montpellier,7.5,,1.42,1.22,0.07,0.02,0.11,2006,1,,7.5
1309,1309,5644,Hitman: Blood Money,Action,M,X360,Eidos Interactive,IO Interactive,8.1,,0.39,0.29,0.06,0.01,0.03,2006,1,,8.1
1310,1310,5540,Castlevania: Portrait of Ruin,Platform,T,DS,Konami,Konami,8.5,,0.4,0.31,0.02,0.04,0.03,2006,1,,8.5
1323,1323,3042,Tom Clancy's Splinter Cell: Double Agent,Action,M,X360,Ubisoft,Ubisoft Shanghai,8.5,8.3,0.78,0.67,0.04,0.01,0.06,2006,1,,8.4
1325,1325,364,World Soccer Winning Eleven 9,Sports,E,PS2,Konami,Konami Computer Entertainment Tokyo,8.9,,4.06,0.12,2.26,0.9,0.77,2006,1,,8.9
1327,1327,12329,Baten Kaitos Origins,Role-Playing,T,GC,Nintendo,tri-Crescendo / Monolith Soft,7.5,,0.1,0.06,0.02,0.02,0.0,2006,1,,7.5
1329,1329,11885,Odama,Misc,E10,GC,Nintendo,VIVARIUM Inc.,6.5,,0.11,0.07,0.02,0.02,0.0,2006,1,,6.5
1330,1330,8089,Me & My Katamari,Puzzle,E,PSP,Namco,Namco,7.2,,0.23,0.13,0.01,0.08,,2006,1,7.8,7.5
1331,1331,1311,Need for Speed Carbon,Racing,E10,X360,Electronic Arts,EA Black Box,7.9,,1.65,0.76,0.69,0.02,0.18,2006,1,,7.9
1332,1332,1711,Need for Speed Carbon,Racing,E10,PS2,Electronic Arts,EA Black Box,7.7,,1.34,1.22,0.05,0.05,0.01,2006,1,,7.7
1336,1336,437,Grand Theft Auto: Liberty City Stories,Action,M,PS2,Rockstar Games,Rockstar Leeds,8.3,,3.54,1.56,1.4,0.07,0.5,2006,1,,8.3
1338,1338,4373,Madden NFL 07,Sports,E,PS3,EA Sports,EA Tiburon,8.0,,0.53,0.48,,0.01,0.04,2006,1,,8.0
1339,1339,9864,Guilty Gear Judgment,Fighting,T,PSP,Majesco,Arc System Works,7.5,,0.16,0.13,0.0,0.02,0.01,2006,1,,7.5
1341,1341,11010,Rumble Roses XX,Fighting,M,X360,Konami,Yuke's Future Media Creators,6.5,,0.13,0.07,0.01,0.04,0.01,2006,1,,6.5
1342,1342,1456,Call of Duty 3,Shooter,T,PS3,Activision,Treyarch,7.7,,1.51,0.6,0.63,0.03,0.26,2006,1,,7.7
1343,1343,4348,Excite Truck,Racing,E,Wii,Nintendo,Monster Games Inc.,7.0,,0.53,0.39,0.03,0.08,0.04,2006,1,8.0,7.5
1348,1348,5884,Xenosaga Episode III: Also sprach Zarathustra,Role-Playing,T,PS2,Namco,Monolith Soft,7.9,,0.37,0.09,0.07,0.18,0.02,2006,1,,7.9
1351,1351,4030,Tales of the Abyss,Role-Playing,T,PS2,Namco,Namco Tales Studio,8.0,,0.57,,,0.57,,2006,1,,8.0
1360,1360,5854,Tomb Raider: Legend,Action,T,X360,Eidos Interactive,Crystal Dynamics,8.1,,0.37,0.27,0.07,0.01,0.03,2006,1,,8.1
