appid	game	genre_type	sentiment	count
206190	Gunpoint	Action	negative	1332
206190	Gunpoint	Action	neutral	725
206190	Gunpoint	Action	positive	7273
206190	Gunpoint	Indie	negative	1332
206190	Gunpoint	Indie	neutral	725
206190	Gunpoint	Indie	positive	7273
206190	Gunpoint	Strategy	negative	1332
206190	Gunpoint	Strategy	neutral	725
206190	Gunpoint	Strategy	positive	7273
206440	To the Moon	Adventure	negative	3614
206440	To the Moon	Adventure	neutral	2372
206440	To the Moon	Adventure	positive	14888
206440	To the Moon	Indie	negative	3614
206440	To the Moon	Indie	neutral	2372
206440	To the Moon	Indie	positive	14888
206440	To the Moon	RPG	negative	3614
206440	To the Moon	RPG	neutral	2372
206440	To the Moon	RPG	positive	14888
207610	The Walking Dead	Adventure	negative	5555
207610	The Walking Dead	Adventure	neutral	3333
207610	The Walking Dead	Adventure	positive	17360
212680	FTL: Faster Than Light	Indie	negative	10132
212680	FTL: Faster Than Light	Indie	neutral	4424
212680	FTL: Faster Than Light	Indie	positive	29079
212680	FTL: Faster Than Light	Simulation	negative	10132
212680	FTL: Faster Than Light	Simulation	neutral	4424
212680	FTL: Faster Than Light	Simulation	positive	29079
212680	FTL: Faster Than Light	Strategy	negative	10132
212680	FTL: Faster Than Light	Strategy	neutral	4424
212680	FTL: Faster Than Light	Strategy	positive	29079
213670	South Park™: The Stick of Truth™	Action	negative	4653
213670	South Park™: The Stick of Truth™	Action	neutral	3022
213670	South Park™: The Stick of Truth™	Action	positive	15527
213670	South Park™: The Stick of Truth™	Adventure	negative	4653
213670	South Park™: The Stick of Truth™	Adventure	neutral	3022
213670	South Park™: The Stick of Truth™	Adventure	positive	15527
213670	South Park™: The Stick of Truth™	RPG	negative	4653
213670	South Park™: The Stick of Truth™	RPG	neutral	3022
213670	South Park™: The Stick of Truth™	RPG	positive	15527
214560	Mark of the Ninja	Action	negative	1317
214560	Mark of the Ninja	Action	neutral	828
214560	Mark of the Ninja	Action	positive	7083
214560	Mark of the Ninja	Adventure	negative	1317
214560	Mark of the Ninja	Adventure	neutral	828
214560	Mark of the Ninja	Adventure	positive	7083
214560	Mark of the Ninja	Indie	negative	1317
214560	Mark of the Ninja	Indie	neutral	828
214560	Mark of the Ninja	Indie	positive	7083
214950	Total War: ROME II - Emperor Edition	Strategy	negative	7669
214950	Total War: ROME II - Emperor Edition	Strategy	neutral	4016
214950	Total War: ROME II - Emperor Edition	Strategy	positive	19309
218620	PAYDAY 2	Action	negative	41376
218620	PAYDAY 2	Action	neutral	38869
218620	PAYDAY 2	Action	positive	106541
218620	PAYDAY 2	RPG	negative	41376
218620	PAYDAY 2	RPG	neutral	38869
218620	PAYDAY 2	RPG	positive	106541
219150	Hotline Miami	Action	negative	7674
219150	Hotline Miami	Action	neutral	5108
219150	Hotline Miami	Action	positive	18355
219150	Hotline Miami	Indie	negative	7674
219150	Hotline Miami	Indie	neutral	5108
219150	Hotline Miami	Indie	positive	18355
219740	Don't Starve	Adventure	negative	7607
219740	Don't Starve	Adventure	neutral	4812
219740	Don't Starve	Adventure	positive	21493
219740	Don't Starve	Indie	negative	7607
219740	Don't Starve	Indie	neutral	4812
219740	Don't Starve	Indie	positive	21493
219740	Don't Starve	Simulation	negative	7607
219740	Don't Starve	Simulation	neutral	4812
219740	Don't Starve	Simulation	positive	21493
221380	Age of Empires II (2013)	Strategy	negative	6306
221380	Age of Empires II (2013)	Strategy	neutral	5945
221380	Age of Empires II (2013)	Strategy	positive	25919
221640	Super Hexagon	Action	negative	4900
221640	Super Hexagon	Action	neutral	2297
221640	Super Hexagon	Action	positive	7658
221640	Super Hexagon	Indie	negative	4900
221640	Super Hexagon	Indie	neutral	2297
221640	Super Hexagon	Indie	positive	7658
225540	Just Cause 3	Action	negative	10359
225540	Just Cause 3	Action	neutral	5614
225540	Just Cause 3	Action	positive	20819
225540	Just Cause 3	Adventure	negative	10359
225540	Just Cause 3	Adventure	neutral	5614
225540	Just Cause 3	Adventure	positive	20819
227300	Euro Truck Simulator 2	Indie	negative	12029
227300	Euro Truck Simulator 2	Indie	neutral	15573
227300	Euro Truck Simulator 2	Indie	positive	53985
227300	Euro Truck Simulator 2	Simulation	negative	12029
227300	Euro Truck Simulator 2	Simulation	neutral	15573
227300	Euro Truck Simulator 2	Simulation	positive	53985
233860	Kenshi	Action	negative	6185
233860	Kenshi	Action	neutral	3096
233860	Kenshi	Action	positive	13925
233860	Kenshi	Indie	negative	6185
233860	Kenshi	Indie	neutral	3096
233860	Kenshi	Indie	positive	13925
233860	Kenshi	RPG	negative	6185
233860	Kenshi	RPG	neutral	3096
233860	Kenshi	RPG	positive	13925
233860	Kenshi	Simulation	negative	6185
233860	Kenshi	Simulation	neutral	3096
233860	Kenshi	Simulation	positive	13925
233860	Kenshi	Strategy	negative	6185
233860	Kenshi	Strategy	neutral	3096
233860	Kenshi	Strategy	positive	13925
236850	Europa Universalis IV	Simulation	negative	11602
236850	Europa Universalis IV	Simulation	neutral	7506
236850	Europa Universalis IV	Simulation	positive	26403
236850	Europa Universalis IV	Strategy	negative	11602
236850	Europa Universalis IV	Strategy	neutral	7506
236850	Europa Universalis IV	Strategy	positive	26403
238320	Outlast	Action	negative	8241
238320	Outlast	Action	neutral	3761
238320	Outlast	Action	positive	10980
238320	Outlast	Adventure	negative	8241
238320	Outlast	Adventure	neutral	3761
238320	Outlast	Adventure	positive	10980
238320	Outlast	Indie	negative	8241
238320	Outlast	Indie	neutral	3761
238320	Outlast	Indie	positive	10980
238460	BattleBlock Theater	Action	negative	4710
238460	BattleBlock Theater	Action	neutral	4018
238460	BattleBlock Theater	Action	positive	15947
238460	BattleBlock Theater	Adventure	negative	4710
238460	BattleBlock Theater	Adventure	neutral	4018
238460	BattleBlock Theater	Adventure	positive	15947
238460	BattleBlock Theater	Casual	negative	4710
238460	BattleBlock Theater	Casual	neutral	4018
238460	BattleBlock Theater	Casual	positive	15947
238460	BattleBlock Theater	Indie	negative	4710
238460	BattleBlock Theater	Indie	neutral	4018
238460	BattleBlock Theater	Indie	positive	15947
239030	"Papers, Please"	Adventure	negative	5475
239030	"Papers, Please"	Adventure	neutral	4502
239030	"Papers, Please"	Adventure	positive	14058
239030	"Papers, Please"	Indie	negative	5475
239030	"Papers, Please"	Indie	neutral	4502
239030	"Papers, Please"	Indie	positive	14058
239140	Dying Light	Action	negative	10934
239140	Dying Light	Action	neutral	9053
239140	Dying Light	Action	positive	42104
239140	Dying Light	RPG	negative	10934
239140	Dying Light	RPG	neutral	9053
239140	Dying Light	RPG	positive	42104
240720	Getting Over It with Bennett Foddy	Action	negative	6991
240720	Getting Over It with Bennett Foddy	Action	neutral	3482
240720	Getting Over It with Bennett Foddy	Action	positive	6003
242760	The Forest	Action	negative	20711
242760	The Forest	Action	neutral	15860
242760	The Forest	Action	positive	56961
242760	The Forest	Adventure	negative	20711
242760	The Forest	Adventure	neutral	15860
242760	The Forest	Adventure	positive	56961
242760	The Forest	Indie	negative	20711
242760	The Forest	Indie	neutral	15860
242760	The Forest	Indie	positive	56961
242760	The Forest	Simulation	negative	20711
242760	The Forest	Simulation	neutral	15860
242760	The Forest	Simulation	positive	56961
242920	Banished	Indie	negative	6013
242920	Banished	Indie	neutral	1808
242920	Banished	Indie	positive	15720
242920	Banished	Simulation	negative	6013
242920	Banished	Simulation	neutral	1808
242920	Banished	Simulation	positive	15720
242920	Banished	Strategy	negative	6013
242920	Banished	Strategy	neutral	1808
242920	Banished	Strategy	positive	15720
250320	The Wolf Among Us	Action	negative	2134
250320	The Wolf Among Us	Action	neutral	1455
250320	The Wolf Among Us	Action	positive	11642
250320	The Wolf Among Us	Adventure	negative	2134
250320	The Wolf Among Us	Adventure	neutral	1455
250320	The Wolf Among Us	Adventure	positive	11642
250320	The Wolf Among Us	Casual	negative	2134
250320	The Wolf Among Us	Casual	neutral	1455
250320	The Wolf Among Us	Casual	positive	11642
250900	The Binding of Isaac: Rebirth	Action	negative	11946
250900	The Binding of Isaac: Rebirth	Action	neutral	10256
250900	The Binding of Isaac: Rebirth	Action	positive	35461
252490	Rust	Action	negative	75337
252490	Rust	Action	neutral	57857
252490	Rust	Action	positive	150172
252490	Rust	Adventure	negative	75337
252490	Rust	Adventure	neutral	57857
252490	Rust	Adventure	positive	150172
252490	Rust	Indie	negative	75337
252490	Rust	Indie	neutral	57857
252490	Rust	Indie	positive	150172
252490	Rust	Massively Multiplayer	negative	75337
252490	Rust	Massively Multiplayer	neutral	57857
252490	Rust	Massively Multiplayer	positive	150172
252490	Rust	RPG	negative	75337
252490	Rust	RPG	neutral	57857
252490	Rust	RPG	positive	150172
252950	Rocket League	Action	negative	52394
252950	Rocket League	Action	neutral	51318
252950	Rocket League	Action	positive	144613
252950	Rocket League	Indie	negative	52394
252950	Rocket League	Indie	neutral	51318
252950	Rocket League	Indie	positive	144613
252950	Rocket League	Racing	negative	52394
252950	Rocket League	Racing	neutral	51318
252950	Rocket League	Racing	positive	144613
252950	Rocket League	Sports	negative	52394
252950	Rocket League	Sports	neutral	51318
252950	Rocket League	Sports	positive	144613
255710	Cities: Skylines	Simulation	negative	13118
255710	Cities: Skylines	Simulation	neutral	9632
255710	Cities: Skylines	Simulation	positive	47128
255710	Cities: Skylines	Strategy	negative	13118
255710	Cities: Skylines	Strategy	neutral	9632
255710	Cities: Skylines	Strategy	positive	47128
262060	Darkest Dungeon®	Indie	negative	12268
262060	Darkest Dungeon®	Indie	neutral	4610
262060	Darkest Dungeon®	Indie	positive	23603
262060	Darkest Dungeon®	RPG	negative	12268
262060	Darkest Dungeon®	RPG	neutral	4610
262060	Darkest Dungeon®	RPG	positive	23603
262060	Darkest Dungeon®	Strategy	negative	12268
262060	Darkest Dungeon®	Strategy	neutral	4610
262060	Darkest Dungeon®	Strategy	positive	23603
264200	One Finger Death Punch	Action	negative	2438
264200	One Finger Death Punch	Action	neutral	1257
264200	One Finger Death Punch	Action	positive	7328
264200	One Finger Death Punch	Casual	negative	2438
264200	One Finger Death Punch	Casual	neutral	1257
264200	One Finger Death Punch	Casual	positive	7328
264200	One Finger Death Punch	Indie	negative	2438
264200	One Finger Death Punch	Indie	neutral	1257
264200	One Finger Death Punch	Indie	positive	7328
264710	Subnautica	Adventure	negative	18229
264710	Subnautica	Adventure	neutral	9515
264710	Subnautica	Adventure	positive	64591
264710	Subnautica	Indie	negative	18229
264710	Subnautica	Indie	neutral	9515
264710	Subnautica	Indie	positive	64591
268500	XCOM 2	Strategy	negative	9148
268500	XCOM 2	Strategy	neutral	3770
268500	XCOM 2	Strategy	positive	23557
268910	Cuphead	Action	negative	7758
268910	Cuphead	Action	neutral	5085
268910	Cuphead	Action	positive	20004
268910	Cuphead	Indie	negative	7758
268910	Cuphead	Indie	neutral	5085
268910	Cuphead	Indie	positive	20004
270880	American Truck Simulator	Indie	negative	5232
270880	American Truck Simulator	Indie	neutral	4733
270880	American Truck Simulator	Indie	positive	25240
270880	American Truck Simulator	Simulation	negative	5232
270880	American Truck Simulator	Simulation	neutral	4733
270880	American Truck Simulator	Simulation	positive	25240
271590	Grand Theft Auto V	Action	negative	73857
271590	Grand Theft Auto V	Action	neutral	78395
271590	Grand Theft Auto V	Action	positive	166847
271590	Grand Theft Auto V	Adventure	negative	73857
271590	Grand Theft Auto V	Adventure	neutral	78395
271590	Grand Theft Auto V	Adventure	positive	166847
274190	Broforce	Action	negative	4296
274190	Broforce	Action	neutral	3891
274190	Broforce	Action	positive	11393
274190	Broforce	Adventure	negative	4296
274190	Broforce	Adventure	neutral	3891
274190	Broforce	Adventure	positive	11393
274190	Broforce	Casual	negative	4296
274190	Broforce	Casual	neutral	3891
274190	Broforce	Casual	positive	11393
274190	Broforce	Indie	negative	4296
274190	Broforce	Indie	neutral	3891
274190	Broforce	Indie	positive	11393
275390	Guacamelee! Super Turbo Championship Edition	Action	negative	357
275390	Guacamelee! Super Turbo Championship Edition	Action	neutral	228
275390	Guacamelee! Super Turbo Championship Edition	Action	positive	1614
275390	Guacamelee! Super Turbo Championship Edition	Adventure	negative	357
275390	Guacamelee! Super Turbo Championship Edition	Adventure	neutral	228
275390	Guacamelee! Super Turbo Championship Edition	Adventure	positive	1614
275390	Guacamelee! Super Turbo Championship Edition	Indie	negative	357
275390	Guacamelee! Super Turbo Championship Edition	Indie	neutral	228
275390	Guacamelee! Super Turbo Championship Edition	Indie	positive	1614
275850	No Man's Sky	Action	negative	43247
275850	No Man's Sky	Action	neutral	11462
275850	No Man's Sky	Action	positive	61398
275850	No Man's Sky	Adventure	negative	43247
275850	No Man's Sky	Adventure	neutral	11462
275850	No Man's Sky	Adventure	positive	61398
281990	Stellaris	Simulation	negative	13205
281990	Stellaris	Simulation	neutral	6513
281990	Stellaris	Simulation	positive	34404
281990	Stellaris	Strategy	negative	13205
281990	Stellaris	Strategy	neutral	6513
281990	Stellaris	Strategy	positive	34404
284160	BeamNG.drive	Early Access	negative	5475
284160	BeamNG.drive	Early Access	neutral	7058
284160	BeamNG.drive	Early Access	positive	24274
284160	BeamNG.drive	Racing	negative	5475
284160	BeamNG.drive	Racing	neutral	7058
284160	BeamNG.drive	Racing	positive	24274
284160	BeamNG.drive	Simulation	negative	5475
284160	BeamNG.drive	Simulation	neutral	7058
284160	BeamNG.drive	Simulation	positive	24274
285190	"Warhammer 40,000: Dawn of War III"	Action	negative	3962
285190	"Warhammer 40,000: Dawn of War III"	Action	neutral	708
285190	"Warhammer 40,000: Dawn of War III"	Action	positive	5059
285190	"Warhammer 40,000: Dawn of War III"	Simulation	negative	3962
285190	"Warhammer 40,000: Dawn of War III"	Simulation	neutral	708
285190	"Warhammer 40,000: Dawn of War III"	Simulation	positive	5059
285190	"Warhammer 40,000: Dawn of War III"	Strategy	negative	3962
285190	"Warhammer 40,000: Dawn of War III"	Strategy	neutral	708
285190	"Warhammer 40,000: Dawn of War III"	Strategy	positive	5059
286160	Tabletop Simulator	Casual	negative	4443
286160	Tabletop Simulator	Casual	neutral	4533
286160	Tabletop Simulator	Casual	positive	17496
286160	Tabletop Simulator	Indie	negative	4443
286160	Tabletop Simulator	Indie	neutral	4533
286160	Tabletop Simulator	Indie	positive	17496
286160	Tabletop Simulator	RPG	negative	4443
286160	Tabletop Simulator	RPG	neutral	4533
286160	Tabletop Simulator	RPG	positive	17496
286160	Tabletop Simulator	Simulation	negative	4443
286160	Tabletop Simulator	Simulation	neutral	4533
286160	Tabletop Simulator	Simulation	positive	17496
286160	Tabletop Simulator	Strategy	negative	4443
286160	Tabletop Simulator	Strategy	neutral	4533
286160	Tabletop Simulator	Strategy	positive	17496
289070	Sid Meier's Civilization VI	Strategy	negative	15891
289070	Sid Meier's Civilization VI	Strategy	neutral	9250
289070	Sid Meier's Civilization VI	Strategy	positive	42678
292030	The Witcher 3: Wild Hunt	RPG	negative	20888
292030	The Witcher 3: Wild Hunt	RPG	neutral	24404
292030	The Witcher 3: Wild Hunt	RPG	positive	105931
294100	RimWorld	Indie	negative	13648
294100	RimWorld	Indie	neutral	7938
294100	RimWorld	Indie	positive	37877
294100	RimWorld	Simulation	negative	13648
294100	RimWorld	Simulation	neutral	7938
294100	RimWorld	Simulation	positive	37877
294100	RimWorld	Strategy	negative	13648
294100	RimWorld	Strategy	neutral	7938
294100	RimWorld	Strategy	positive	37877
304390	For Honor	Action	negative	13816
304390	For Honor	Action	neutral	6633
304390	For Honor	Action	positive	20359
306130	The Elder Scrolls Online	Massively Multiplayer	negative	11614
306130	The Elder Scrolls Online	Massively Multiplayer	neutral	6542
306130	The Elder Scrolls Online	Massively Multiplayer	positive	30985
306130	The Elder Scrolls Online	RPG	negative	11614
306130	The Elder Scrolls Online	RPG	neutral	6542
306130	The Elder Scrolls Online	RPG	positive	30985
311690	Enter the Gungeon	Action	negative	5459
311690	Enter the Gungeon	Action	neutral	4885
311690	Enter the Gungeon	Action	positive	17235
311690	Enter the Gungeon	Adventure	negative	5459
311690	Enter the Gungeon	Adventure	neutral	4885
311690	Enter the Gungeon	Adventure	positive	17235
311690	Enter the Gungeon	Indie	negative	5459
311690	Enter the Gungeon	Indie	neutral	4885
311690	Enter the Gungeon	Indie	positive	17235
312530	Duck Game	Action	negative	2855
312530	Duck Game	Action	neutral	3647
312530	Duck Game	Action	positive	6678
312530	Duck Game	Indie	negative	2855
312530	Duck Game	Indie	neutral	3647
312530	Duck Game	Indie	positive	6678
312660	Sniper Elite 4	Action	negative	1653
312660	Sniper Elite 4	Action	neutral	1217
312660	Sniper Elite 4	Action	positive	6041
312660	Sniper Elite 4	Adventure	negative	1653
312660	Sniper Elite 4	Adventure	neutral	1217
312660	Sniper Elite 4	Adventure	positive	6041
322330	Don't Starve Together	Adventure	negative	13472
322330	Don't Starve Together	Adventure	neutral	12875
322330	Don't Starve Together	Adventure	positive	43548
322330	Don't Starve Together	Indie	negative	13472
322330	Don't Starve Together	Indie	neutral	12875
322330	Don't Starve Together	Indie	positive	43548
322330	Don't Starve Together	Simulation	negative	13472
322330	Don't Starve Together	Simulation	neutral	12875
322330	Don't Starve Together	Simulation	positive	43548
323190	Frostpunk	Simulation	negative	5126
323190	Frostpunk	Simulation	neutral	1946
323190	Frostpunk	Simulation	positive	15350
323190	Frostpunk	Strategy	negative	5126
323190	Frostpunk	Strategy	neutral	1946
323190	Frostpunk	Strategy	positive	15350
339800	HuniePop	Indie	negative	4529
339800	HuniePop	Indie	neutral	4938
339800	HuniePop	Indie	positive	10642
339800	HuniePop	RPG	negative	4529
339800	HuniePop	RPG	neutral	4938
339800	HuniePop	RPG	positive	10642
339800	HuniePop	Simulation	negative	4529
339800	HuniePop	Simulation	neutral	4938
339800	HuniePop	Simulation	positive	10642
339800	HuniePop	Strategy	negative	4529
339800	HuniePop	Strategy	neutral	4938
339800	HuniePop	Strategy	positive	10642
341800	Keep Talking and Nobody Explodes	Indie	negative	1225
341800	Keep Talking and Nobody Explodes	Indie	neutral	706
341800	Keep Talking and Nobody Explodes	Indie	positive	4009
346110	ARK: Survival Evolved	Action	negative	55423
346110	ARK: Survival Evolved	Action	neutral	27830
346110	ARK: Survival Evolved	Action	positive	101044
346110	ARK: Survival Evolved	Adventure	negative	55423
346110	ARK: Survival Evolved	Adventure	neutral	27830
346110	ARK: Survival Evolved	Adventure	positive	101044
346110	ARK: Survival Evolved	Indie	negative	55423
346110	ARK: Survival Evolved	Indie	neutral	27830
346110	ARK: Survival Evolved	Indie	positive	101044
346110	ARK: Survival Evolved	Massively Multiplayer	negative	55423
346110	ARK: Survival Evolved	Massively Multiplayer	neutral	27830
346110	ARK: Survival Evolved	Massively Multiplayer	positive	101044
346110	ARK: Survival Evolved	RPG	negative	55423
346110	ARK: Survival Evolved	RPG	neutral	27830
346110	ARK: Survival Evolved	RPG	positive	101044
356190	Middle-earth™: Shadow of War™	Action	negative	4930
356190	Middle-earth™: Shadow of War™	Action	neutral	2634
356190	Middle-earth™: Shadow of War™	Action	positive	15226
356190	Middle-earth™: Shadow of War™	Adventure	negative	4930
356190	Middle-earth™: Shadow of War™	Adventure	neutral	2634
356190	Middle-earth™: Shadow of War™	Adventure	positive	15226
356190	Middle-earth™: Shadow of War™	RPG	negative	4930
356190	Middle-earth™: Shadow of War™	RPG	neutral	2634
356190	Middle-earth™: Shadow of War™	RPG	positive	15226
359550	Tom Clancy's Rainbow Six Siege	Action	negative	76096
359550	Tom Clancy's Rainbow Six Siege	Action	neutral	88976
359550	Tom Clancy's Rainbow Six Siege	Action	positive	205230
362890	Black Mesa	Action	negative	4129
362890	Black Mesa	Action	neutral	3537
362890	Black Mesa	Action	positive	25142
362890	Black Mesa	Adventure	negative	4129
362890	Black Mesa	Adventure	neutral	3537
362890	Black Mesa	Adventure	positive	25142
362890	Black Mesa	Indie	negative	4129
362890	Black Mesa	Indie	neutral	3537
362890	Black Mesa	Indie	positive	25142
364360	Total War: WARHAMMER	Action	negative	5811
364360	Total War: WARHAMMER	Action	neutral	2543
364360	Total War: WARHAMMER	Action	positive	16896
364360	Total War: WARHAMMER	Strategy	negative	5811
364360	Total War: WARHAMMER	Strategy	neutral	2543
364360	Total War: WARHAMMER	Strategy	positive	16896
367520	Hollow Knight	Action	negative	8261
367520	Hollow Knight	Action	neutral	6674
367520	Hollow Knight	Action	positive	39762
367520	Hollow Knight	Adventure	negative	8261
367520	Hollow Knight	Adventure	neutral	6674
367520	Hollow Knight	Adventure	positive	39762
367520	Hollow Knight	Indie	negative	8261
367520	Hollow Knight	Indie	neutral	6674
367520	Hollow Knight	Indie	positive	39762
374320	DARK SOULS™ III	Action	negative	22085
374320	DARK SOULS™ III	Action	neutral	19012
374320	DARK SOULS™ III	Action	positive	47661
377160	Fallout 4	RPG	negative	34878
377160	Fallout 4	RPG	neutral	21737
377160	Fallout 4	RPG	positive	82252
379430	Kingdom Come: Deliverance	Action	negative	9154
379430	Kingdom Come: Deliverance	Action	neutral	3093
379430	Kingdom Come: Deliverance	Action	positive	23376
379430	Kingdom Come: Deliverance	Adventure	negative	9154
379430	Kingdom Come: Deliverance	Adventure	neutral	3093
379430	Kingdom Come: Deliverance	Adventure	positive	23376
379430	Kingdom Come: Deliverance	RPG	negative	9154
379430	Kingdom Come: Deliverance	RPG	neutral	3093
379430	Kingdom Come: Deliverance	RPG	positive	23376
379720	DOOM	Action	negative	14476
379720	DOOM	Action	neutral	15593
379720	DOOM	Action	positive	50875
381210	Dead by Daylight	Action	negative	43696
381210	Dead by Daylight	Action	neutral	24216
381210	Dead by Daylight	Action	positive	75861
391220	Rise of the Tomb Raider	Action	negative	3353
391220	Rise of the Tomb Raider	Action	neutral	2492
391220	Rise of the Tomb Raider	Action	positive	18831
391220	Rise of the Tomb Raider	Adventure	negative	3353
391220	Rise of the Tomb Raider	Adventure	neutral	2492
391220	Rise of the Tomb Raider	Adventure	positive	18831
391540	Undertale	Indie	negative	18737
391540	Undertale	Indie	neutral	15369
391540	Undertale	Indie	positive	59531
391540	Undertale	RPG	negative	18737
391540	Undertale	RPG	neutral	15369
391540	Undertale	RPG	positive	59531
394360	Hearts of Iron IV	Simulation	negative	13581
394360	Hearts of Iron IV	Simulation	neutral	11718
394360	Hearts of Iron IV	Simulation	positive	35567
394360	Hearts of Iron IV	Strategy	negative	13581
